ResourceID,Geometric Place Expression,External Dataset,External Entity,External Dataset Resource Name,Place Name,Name Type,External Resource Site Class,External Resource Site Type,External Resource Count,Cultural Period Type,Cultural Sub-period Type,Remark,Remark Type,External Entity
ac7b89af-f3b7-48b4-bdcc-6462998bda6f,POINT (91.76597222 46.85544444),Khovd University Survey,"[{'resourceId': '99d2f041-7dfc-436b-9922-0a8643e97897', 'ontologyProperty': '', 'resourceXresourceId': '', 'inverseOntologyProperty': ''}]",KU-0060,"""Бух чулуу""",Toponym,Natural Site,Rock,1,Undetermined,,"""probably a natural rock, no detailed description available""",General Description,99d2f041-7dfc-436b-9922-0a8643e97897
c55cf611-0f75-4291-b103-0d9ae3e1de33,POINT (91.87127778 47.19516667),Khovd University Survey,"[{'resourceId': '99d2f041-7dfc-436b-9922-0a8643e97897', 'ontologyProperty': '', 'resourceXresourceId': '', 'inverseOntologyProperty': ''}]",KU-0061,"""Эмгэн хад""",Toponym,Natural Site,Rock,1,Undetermined,,"""probably a natural rock, no detailed description available""",General Description,99d2f041-7dfc-436b-9922-0a8643e97897
80081415-ba2c-4b72-bc01-3966384743b6,POINT (91.80922222 47.16655556),Khovd University Survey,"[{'resourceId': '99d2f041-7dfc-436b-9922-0a8643e97897', 'ontologyProperty': '', 'resourceXresourceId': '', 'inverseOntologyProperty': ''}]",KU-0062,"""Хар усны агуй""",Toponym,Natural Site,Natural Cave,1,Undetermined,,"""no information about cultural layers is present""",General Description,99d2f041-7dfc-436b-9922-0a8643e97897
5dec59c9-9679-4b13-ae2d-04172c8ce011,POINT (91.757 47.18488889),Khovd University Survey,"[{'resourceId': '99d2f041-7dfc-436b-9922-0a8643e97897', 'ontologyProperty': '', 'resourceXresourceId': '', 'inverseOntologyProperty': ''}]",KU-0063,"""Жоншны агуй""",Toponym,Natural Site,Natural Cave,1,Undetermined,,"""no information about cultural layers is present""",General Description,99d2f041-7dfc-436b-9922-0a8643e97897
aec737d1-e100-4747-9307-69e37687a59d,POINT (91.55394444 47.09727778),Khovd University Survey,"[{'resourceId': '99d2f041-7dfc-436b-9922-0a8643e97897', 'ontologyProperty': '', 'resourceXresourceId': '', 'inverseOntologyProperty': ''}]",KU-0064,"""Хоо толгойн овоо""",Toponym,Stone Stele/Memorial Stone Monument,Ovoo,1,Undetermined,,,,99d2f041-7dfc-436b-9922-0a8643e97897
4cf682f7-b1f3-4e4c-9261-8a926185ad0f,POINT (91.7475 46.92072222),Khovd University Survey,"[{'resourceId': '99d2f041-7dfc-436b-9922-0a8643e97897', 'ontologyProperty': '', 'resourceXresourceId': '', 'inverseOntologyProperty': ''}]",KU-0065,"""Бортын Усан нийлдэгийн овоо""",Toponym,Stone Stele/Memorial Stone Monument,Ovoo,1,Undetermined,,,,99d2f041-7dfc-436b-9922-0a8643e97897
d36787f2-4866-48e3-b2a2-f3444d700291,POINT (91.60194444 46.68055556),Khovd University Survey,"[{'resourceId': '99d2f041-7dfc-436b-9922-0a8643e97897', 'ontologyProperty': '', 'resourceXresourceId': '', 'inverseOntologyProperty': ''}]",KU-0066,"""Цүнхэл нуурын I буган чулуун хөшөө""",Toponym,Stone Stele/Memorial Stone Monument,Deer Stone,1,Bronze Age,,,,99d2f041-7dfc-436b-9922-0a8643e97897
ca049c4c-4dfb-4901-94d6-0c12c71c77c4,POINT (91.57111111 46.67416667),Khovd University Survey,"[{'resourceId': '99d2f041-7dfc-436b-9922-0a8643e97897', 'ontologyProperty': '', 'resourceXresourceId': '', 'inverseOntologyProperty': ''}]",KU-0067,"""Цүнхэл нуурын III буган чулуун хөшөө""",Toponym,Stone Stele/Memorial Stone Monument,Deer Stone,1,Bronze Age,,,,99d2f041-7dfc-436b-9922-0a8643e97897
5ecb5bc2-cddf-4359-b43b-39aeb6bf3a35,POINT (91.30527778 46.89277778),Khovd University Survey,"[{'resourceId': '99d2f041-7dfc-436b-9922-0a8643e97897', 'ontologyProperty': '', 'resourceXresourceId': '', 'inverseOntologyProperty': ''}]",KU-0068,"""Сэрүүний Улаан үзүүрийн буган хөшөө""",Toponym,Stone Stele/Memorial Stone Monument,Deer Stone,1,Bronze Age,,,,99d2f041-7dfc-436b-9922-0a8643e97897
e761269e-6944-48ae-aa0a-f5838eae18b6,POINT (91.73472222 46.65111111),Khovd University Survey,"[{'resourceId': '99d2f041-7dfc-436b-9922-0a8643e97897', 'ontologyProperty': '', 'resourceXresourceId': '', 'inverseOntologyProperty': ''}]",KU-0069,"""Арцатын Хороон доод амны хүн чулуу""",Toponym,Stone Stele/Memorial Stone Monument,Stone Man,1,Turkic Period,,,,99d2f041-7dfc-436b-9922-0a8643e97897
